site,ws.area.km2,sw.so4.flux,gw.so4.flux,tot.so4.flux
KS-1a,149.28,277.2577175,297.4812216,574.7
KS-1b,67.81,193.7684644,207.9021641,401.7
KS-4a,47.9,192.3005215,206.3271477,398.6
KS-3c,62.36,272.6703959,292.5592954,565.2
KS-1c,5.57,45.68972314,49.02238529,94.7
KS-3a,16.3,104.4074396,112.0230411,216.4
KS-2c,3.3,25.45046024,27.30684675,52.8
KS-2b,48.52,478.5493893,513.4553448,992
KS-2a,27.11,291.386668,312.6407544,604
KS-3b,1.93,5.394690202,5.788185252,11.2
KS-1e,0.27,155.1012396,166.4145065,321.5
KS-4c,17.58,18.65929292,20.0203237,38.7
KS-3f,4.73,41.49994578,44.52700065,86
KS-3h,1.15,34.65592925,37.1837735,71.8
KS-3i,15.01,20.51414703,22.01047305,42.5
KS-3j,24.05,84.60014605,90.77098023,175.4
KS-2f,4.55,17.22320522,18.47948607,35.7
KS-2g,0.32,9.937360365,10.66220312,20.6
KS-2h,8.94,108.3153793,116.2160305,224.5
KS-3k,1.36,59.66506649,64.01710663,123.7
KS-2j,4.97,69.89085793,74.98877933,144.9
KS-2k,18.44,256.33637,275.0338464,531.4
KS-5b,3.64,19.5514436,20.97754889,40.5
KS-5c,7.21,37.57541104,40.31620572,77.9
KS-5d,4.42,12.33705963,13.23693928,25.6
KS-5e,4.19,15.77792232,16.92878254,32.7
KS-5f,9.87,0.921361819,0.988567034,1.9
